text,font_size,bold,italic,y_position,page_number,label,lang
Esta es una frase de ejemplo en español sobre un tema determinado.,10.45,0,0,713.96,3,Other,es
Ceci est une phrase d'exemple en français sur un certain sujet.,10.05,0,0,541.64,35,Other,fr
2. Section principale,17.75,1,0,602.34,15,H1,fr
1.10.4 Verschachtelter Abschnitt,13.1,1,0,576.36,15,H3,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.15,0,0,333.92,37,Other,de
9. मुख्य अनुभाग,19.85,0,1,116.01,22,H1,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,12.42,0,0,311.07,30,Other,es
8.11 Subsección,16.82,1,0,519.82,18,H2,es
16.1.11 Sección anidada,13.21,1,0,691.75,21,H3,es
4.13 Subsección,15.44,0,1,465.21,8,H2,es
Ceci est une phrase d'exemple en français sur un certain sujet.,12.39,0,1,762.46,17,Other,fr
5.5 Sous-section,14.89,1,1,246.3,0,H2,fr
9.15 उप अनुभाग,14.13,1,0,283.81,27,H2,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.83,0,1,588.82,35,Other,de
9.14.6 नेस्टेड अनुभाग,15.55,0,0,621.74,18,H3,hi
Ceci est une phrase d'exemple en français sur un certain sujet.,11.11,1,1,671.27,25,Other,fr
11. Section principale,19.9,1,1,392.61,23,H1,fr
17. Major Section,18.98,0,0,184.81,18,H1,en
Ceci est une phrase d'exemple en français sur un certain sujet.,11.62,1,0,679.12,36,Other,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.5,1,1,681.93,40,Other,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.67,0,1,277.2,27,Other,de
5.2.10 Verschachtelter Abschnitt,14.63,0,1,466.8,7,H3,de
5. मुख्य अनुभाग,17.33,1,1,284.33,25,H1,hi
2.15.11 Sección anidada,14.3,0,1,279.97,16,H3,es
Esta es una frase de ejemplo en español sobre un tema determinado.,11.34,0,0,445.59,29,Other,es
8. Sección principal,17.29,1,1,243.54,37,H1,es
Ceci est une phrase d'exemple en français sur un certain sujet.,11.95,0,1,712.18,14,Other,fr
19.1.5 Sección anidada,12.92,1,0,673.49,5,H3,es
This is an example sentence in English about a certain topic.,10.42,0,0,59.64,11,Other,en
16. मुख्य अनुभाग,18.64,0,0,423.29,28,H1,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.4,0,0,589.5,30,Other,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.87,0,1,526.79,10,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,12.72,1,0,430.79,9,Other,es
Ceci est une phrase d'exemple en français sur un certain sujet.,13.6,0,1,306.39,18,Other,fr
8.9.3 नेस्टेड अनुभाग,13.4,0,0,365.59,31,H3,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,10.19,0,0,367.99,21,Other,es
20. Sección principal,17.8,0,0,721.8,10,H1,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.56,1,0,470.81,34,Other,hi
2.4.11 Verschachtelter Abschnitt,13.98,0,1,580.65,26,H3,de
9.4.6 Nested Section,15.02,1,1,667.16,30,H3,en
Esta es una frase de ejemplo en español sobre un tema determinado.,13.41,0,0,667.82,28,Other,es
14.1 Subsección,14.62,1,0,661.39,7,H2,es
8.5 Subsection,16.85,0,0,639.44,19,H2,en
Ceci est une phrase d'exemple en français sur un certain sujet.,10.76,0,0,732.13,22,Other,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.63,0,1,83.36,8,Other,de
4.12.2 Section imbriquée,14.9,0,0,407.59,22,H3,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,12.47,0,0,442.27,25,Other,fr
17.4.3 Section imbriquée,15.24,0,0,182.07,23,H3,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.61,0,0,290.16,37,Other,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,11.55,0,1,381.89,8,Other,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.96,0,0,736.31,11,Other,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.82,0,1,590.68,21,Other,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.71,0,0,199.13,10,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,12.19,0,1,717.68,32,Other,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.17,0,0,54.56,38,Other,hi
8. मुख्य अनुभाग,18.46,1,1,203.68,7,H1,hi
18.3 Unterabschnitt,16.01,1,0,398.15,28,H2,de
16.1 उप अनुभाग,16.68,0,1,770.27,39,H2,hi
18.10.8 Section imbriquée,14.3,0,0,569.63,4,H3,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,13.54,0,1,455.21,3,Other,es
15.14.7 Nested Section,14.25,1,0,783.03,26,H3,en
15.4.10 Verschachtelter Abschnitt,13.18,0,0,313.49,3,H3,de
Ceci est une phrase d'exemple en français sur un certain sujet.,11.42,0,0,526.22,24,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,11.56,1,1,675.83,21,Other,es
17. मुख्य अनुभाग,16.01,1,0,475.19,33,H1,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.3,1,1,413.37,38,Other,hi
3.1 उप अनुभाग,16.7,0,1,757.49,37,H2,hi
6.7 Subsección,15.76,1,0,83.91,15,H2,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.31,0,1,104.79,14,Other,de
15.5.4 Section imbriquée,14.8,0,1,70.52,22,H3,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.61,0,1,62.75,22,Other,de
This is an example sentence in English about a certain topic.,12.64,0,1,360.07,29,Other,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.36,1,1,785.53,21,Other,hi
15. Hauptabschnitt,17.16,1,0,380.76,2,H1,de
2.12 Subsección,14.87,0,1,492.27,24,H2,es
18. Section principale,16.51,1,0,749.72,32,H1,fr
This is an example sentence in English about a certain topic.,10.89,1,0,755.31,32,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,10.9,0,0,496.13,39,Other,fr
2.2 उप अनुभाग,14.43,0,1,271.06,33,H2,hi
18. मुख्य अनुभाग,19.97,1,0,792.6,27,H1,hi
18. मुख्य अनुभाग,19.68,0,0,336.38,27,H1,hi
Ceci est une phrase d'exemple en français sur un certain sujet.,11.22,0,0,421.59,27,Other,fr
9.6 Sous-section,16.47,0,0,610.14,4,H2,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.94,0,0,260.97,28,Other,de
Chapter 16: Introduction to Something,25.47,1,0,258.89,40,Title,en
10.15 Subsection,15.46,0,0,328.33,2,H2,en
16. Hauptabschnitt,18.39,1,1,206.95,1,H1,de
9.4 Subsection,17.07,0,0,372.66,34,H2,en
13.9 Unterabschnitt,15.09,0,0,157,27,H2,de
Ceci est une phrase d'exemple en français sur un certain sujet.,11.11,1,0,765.89,40,Other,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.05,0,0,382.18,34,Other,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,12.74,0,0,267.41,32,Other,es
4. Sección principal,19.87,1,0,799.98,5,H1,es
This is an example sentence in English about a certain topic.,12.7,0,0,183.64,0,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,11.44,0,0,375.42,32,Other,fr
12. Major Section,19.38,1,1,347.34,34,H1,en
Ceci est une phrase d'exemple en français sur un certain sujet.,13.71,0,0,534.3,18,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,10.18,1,0,263.64,2,Other,es
This is an example sentence in English about a certain topic.,12.22,0,0,648.38,8,Other,en
17. Hauptabschnitt,16.08,0,0,58.08,22,H1,de
Ceci est une phrase d'exemple en français sur un certain sujet.,12.78,0,0,625.47,35,Other,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,13.85,0,1,307.71,18,Other,fr
10.9 Subsección,15.71,1,1,543.42,34,H2,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.61,1,1,692.38,5,Other,hi
2.9.4 Sección anidada,15.76,1,1,286.82,4,H3,es
This is an example sentence in English about a certain topic.,13.96,0,1,457.81,21,Other,en
11.2.11 नेस्टेड अनुभाग,15.15,0,0,787.73,0,H3,hi
5.10.8 Nested Section,13.33,0,0,442.74,38,H3,en
16.13.1 Section imbriquée,14.41,0,1,485.14,7,H3,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.42,1,0,117.04,38,Other,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,10.42,0,1,763.46,28,Other,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.29,0,0,635.02,22,Other,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.25,1,1,289.16,20,Other,hi
16.9 Subsección,16.04,0,0,661.33,29,H2,es
This is an example sentence in English about a certain topic.,11.7,1,0,196.2,33,Other,en
11.2.7 Nested Section,15.01,1,1,494.11,36,H3,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.84,1,0,461.06,24,Other,hi
13.15 Unterabschnitt,15.01,1,0,204.9,34,H2,de
This is an example sentence in English about a certain topic.,11.5,0,1,408.91,6,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.84,0,0,182.32,23,Other,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.36,0,0,552.17,35,Other,hi
This is an example sentence in English about a certain topic.,12.61,1,0,327.84,12,Other,en
15. मुख्य अनुभाग,17.23,1,1,50.17,34,H1,hi
2. Section principale,19.49,0,0,598.64,5,H1,fr
1.11.12 Verschachtelter Abschnitt,14.37,0,0,146.69,0,H3,de
20. Hauptabschnitt,16.78,0,0,789.71,12,H1,de
Esta es una frase de ejemplo en español sobre un tema determinado.,13.32,0,0,708.74,2,Other,es
18.5 उप अनुभाग,15.83,1,0,672.19,17,H2,hi
15.4 Subsección,16.73,0,0,795.88,8,H2,es
This is an example sentence in English about a certain topic.,10.77,0,0,74.41,27,Other,en
20. Major Section,17.03,1,1,306.36,20,H1,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.83,1,0,329.23,40,Other,de
17. Sección principal,16.74,1,0,236.76,3,H1,es
6.7 Unterabschnitt,17.8,0,0,630.99,2,H2,de
19.6 Subsection,16.68,1,1,734.74,28,H2,en
3.9.12 Nested Section,14.4,1,0,755.25,16,H3,en
Ceci est une phrase d'exemple en français sur un certain sujet.,12.53,0,0,555.97,32,Other,fr
This is an example sentence in English about a certain topic.,13.93,1,0,265.84,35,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,11.23,0,0,404.9,11,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,10.1,0,0,539.26,23,Other,es
Kapitel 14: Einführung in etwas,20.85,1,0,265.81,10,Title,de
This is an example sentence in English about a certain topic.,11.08,1,0,600.16,26,Other,en
14.9 Subsección,17.77,0,0,84.4,34,H2,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.95,1,0,507.92,27,Other,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.24,1,0,480.66,38,Other,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.32,0,1,380.67,12,Other,hi
5.9.12 Verschachtelter Abschnitt,14.55,1,1,213.78,24,H3,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.36,0,0,471.34,5,Other,hi
13.6 उप अनुभाग,14.97,0,1,748.13,22,H2,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,11.33,0,0,66.25,21,Other,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.74,0,0,68.22,12,Other,de
Ceci est une phrase d'exemple en français sur un certain sujet.,11.49,0,0,144.8,2,Other,fr
17.11.2 Verschachtelter Abschnitt,13.25,0,0,289.46,17,H3,de
Ceci est une phrase d'exemple en français sur un certain sujet.,12.68,0,1,364.73,14,Other,fr
This is an example sentence in English about a certain topic.,11.75,1,0,649.48,15,Other,en
9.7.4 Verschachtelter Abschnitt,14.28,0,1,730.32,25,H3,de
2.1 Unterabschnitt,15.46,1,0,697.61,20,H2,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.21,1,0,521.12,36,Other,hi
Capítulo 11: Introducción a algo,25.38,1,1,525.98,10,Title,es
Ceci est une phrase d'exemple en français sur un certain sujet.,11.1,1,1,425.39,12,Other,fr
10. Sección principal,16.4,1,0,677.34,34,H1,es
17.11.1 Sección anidada,13.43,0,0,595.32,20,H3,es
Esta es una frase de ejemplo en español sobre un tema determinado.,13.89,0,0,707.38,7,Other,es
Esta es una frase de ejemplo en español sobre un tema determinado.,12.2,1,0,645.91,40,Other,es
This is an example sentence in English about a certain topic.,12.13,1,1,646.47,29,Other,en
12.7.2 Sección anidada,12.81,0,1,384.74,3,H3,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.83,0,0,784.23,0,Other,hi
This is an example sentence in English about a certain topic.,11.77,0,0,65.22,33,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,10.17,1,1,728.44,36,Other,fr
This is an example sentence in English about a certain topic.,12.94,1,0,658.67,39,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,11.23,0,0,723.05,21,Other,fr
8.7.9 Section imbriquée,15.88,0,0,129.02,25,H3,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,10.43,1,0,595.29,32,Other,hi
18.15 Subsección,17.96,1,0,455.51,5,H2,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.61,1,1,788.49,16,Other,hi
8.1 उप अनुभाग,16.24,1,0,764.01,6,H2,hi
11.6 Unterabschnitt,15.43,0,0,515.55,4,H2,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.16,0,1,241.43,39,Other,es
3.12 Subsection,17.26,1,1,266.2,29,H2,en
11.5 Subsection,15.78,0,0,699.65,28,H2,en
9.3.10 Nested Section,15.91,0,0,645.44,29,H3,en
17.5.12 Sección anidada,14.55,0,0,116.22,25,H3,es
6.1.2 Nested Section,14.29,0,0,588.1,1,H3,en
14. Section principale,19.28,1,0,190.31,19,H1,fr
18.14.3 Sección anidada,15.26,1,0,488.16,3,H3,es
This is an example sentence in English about a certain topic.,12.29,0,0,653.75,21,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.99,0,0,654.44,35,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,12.63,0,1,482.09,2,Other,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.97,0,1,473.63,6,Other,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.15,1,0,363.96,15,Other,hi
8.11.7 नेस्टेड अनुभाग,14.24,0,0,140.81,28,H3,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.35,1,1,198.61,3,Other,hi
20. Section principale,16.96,0,0,341.38,18,H1,fr
6.15 Subsection,14.93,1,0,553.01,5,H2,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.03,0,1,674.39,26,Other,de
Ceci est une phrase d'exemple en français sur un certain sujet.,10.91,0,1,444.36,23,Other,fr
5.9 Unterabschnitt,16.28,0,0,505.54,14,H2,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.3,0,0,57.37,25,Other,es
20.1.4 नेस्टेड अनुभाग,15.57,0,0,735.2,30,H3,hi
10. Section principale,16.23,1,0,292.31,18,H1,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,10.88,1,0,422.66,39,Other,es
8.8 Subsección,14.61,0,0,599.19,39,H2,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.09,0,1,316.75,13,Other,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.99,0,1,365.85,16,Other,de
This is an example sentence in English about a certain topic.,10.04,0,1,669.54,37,Other,en
Esta es una frase de ejemplo en español sobre un tema determinado.,12.47,0,0,526.04,6,Other,es
3.4.2 Verschachtelter Abschnitt,13.31,0,0,756.89,9,H3,de
Chapitre 17 : Introduction à quelque chose,25.15,1,0,120.19,1,Title,fr
6.1 Subsección,14.73,1,0,96.31,13,H2,es
Ceci est une phrase d'exemple en français sur un certain sujet.,11.74,1,0,96.13,27,Other,fr
Kapitel 9: Einführung in etwas,20.4,1,0,214.48,37,Title,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.53,0,0,477.5,17,Other,es
18. Hauptabschnitt,16.69,1,1,277.45,18,H1,de
19.4 उप अनुभाग,16.07,1,1,157.45,1,H2,hi
20.9 उप अनुभाग,15.4,1,1,535.34,21,H2,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.25,1,0,507.49,17,Other,hi
8.3.11 Sección anidada,13.16,0,1,772.17,39,H3,es
10.1.2 Verschachtelter Abschnitt,15.22,1,1,316.77,34,H3,de
Esta es una frase de ejemplo en español sobre un tema determinado.,11.71,0,1,309.92,4,Other,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.54,0,0,745.83,23,Other,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.37,0,0,98.01,27,Other,hi
17.14.11 Verschachtelter Abschnitt,14.2,1,1,657.91,27,H3,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.56,0,0,442.34,40,Other,de
This is an example sentence in English about a certain topic.,10.7,0,1,256.95,33,Other,en
1.2.9 नेस्टेड अनुभाग,12.53,0,0,756.21,25,H3,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.14,0,0,386.59,36,Other,de
17.13.2 Sección anidada,13.93,1,1,762.05,21,H3,es
9.2 Sous-section,15.8,0,0,295.93,17,H2,fr
7. Sección principal,16.75,0,1,348.37,36,H1,es
Esta es una frase de ejemplo en español sobre un tema determinado.,11.8,0,0,366.04,24,Other,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.32,0,1,83.11,17,Other,de
Ceci est une phrase d'exemple en français sur un certain sujet.,10.62,0,0,53.65,19,Other,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,11.52,1,1,374.63,8,Other,fr
Kapitel 3: Einführung in etwas,22.41,1,0,150.67,22,Title,de
14.14.11 Sección anidada,14.3,1,0,578.65,15,H3,es
10.2 Subsection,17.08,1,1,483.02,31,H2,en
18.10.12 Nested Section,14.23,0,0,579.89,17,H3,en
18.6 Subsection,17.72,0,0,560.71,12,H2,en
16.9.5 Section imbriquée,13.99,0,0,221.74,7,H3,fr
9.8.1 नेस्टेड अनुभाग,13.55,1,0,779.39,39,H3,hi
16. Section principale,18.18,1,0,78.19,29,H1,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.95,0,1,311.31,4,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,12.54,0,0,630.68,18,Other,es
10.13 Subsección,14.71,1,1,611.54,18,H2,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,10.96,0,0,433.63,20,Other,hi
9. Sección principal,17.81,1,0,369.71,22,H1,es
Esta es una frase de ejemplo en español sobre un tema determinado.,10.64,1,0,121.14,4,Other,es
Ceci est une phrase d'exemple en français sur un certain sujet.,13.11,0,0,203.4,36,Other,fr
18.10 Sous-section,16.73,1,1,69.22,26,H2,fr
4.8 उप अनुभाग,14.33,1,1,781.87,17,H2,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.83,0,0,748.29,23,Other,de
5. Section principale,17.88,0,0,666.56,37,H1,fr
5.2 उप अनुभाग,16.41,0,0,340.65,16,H2,hi
19.13 Unterabschnitt,16.11,0,0,600.34,3,H2,de
8.14.3 Verschachtelter Abschnitt,12.53,0,1,357.45,8,H3,de
Ceci est une phrase d'exemple en français sur un certain sujet.,12.45,0,0,732.35,22,Other,fr
15.15 Subsection,14.26,1,0,185.09,22,H2,en
Ceci est une phrase d'exemple en français sur un certain sujet.,12.57,0,0,583.28,29,Other,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,10.91,0,0,672.03,12,Other,fr
12. मुख्य अनुभाग,16.33,1,1,728.73,4,H1,hi
Ceci est une phrase d'exemple en français sur un certain sujet.,13.46,0,0,289.3,34,Other,fr
This is an example sentence in English about a certain topic.,13.15,0,1,211.27,17,Other,en
This is an example sentence in English about a certain topic.,11.88,0,0,136.14,34,Other,en
4.15 Sous-section,17.4,1,0,198.37,30,H2,fr
9. Major Section,17.55,1,0,713.64,27,H1,en
12. Section principale,19.59,1,0,311.24,17,H1,fr
Capítulo 20: Introducción a algo,22.17,1,1,65.62,0,Title,es
3.4 Sous-section,17.93,1,1,68.26,0,H2,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.58,1,1,533.04,9,Other,de
7. Sección principal,17.27,0,0,52.1,28,H1,es
This is an example sentence in English about a certain topic.,11.26,0,0,132.03,38,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.83,1,1,734.24,39,Other,de
15.8 Subsección,15.34,0,1,772.47,0,H2,es
This is an example sentence in English about a certain topic.,11.13,0,0,553.08,19,Other,en
Esta es una frase de ejemplo en español sobre un tema determinado.,10.32,0,0,783.45,8,Other,es
8.3 Sous-section,15.2,1,1,679.2,36,H2,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,11.67,1,0,582.1,17,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,12.46,1,0,463.43,2,Other,es
This is an example sentence in English about a certain topic.,11.25,0,0,663.67,30,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.78,0,1,635.62,31,Other,de
3.9.2 Verschachtelter Abschnitt,15.47,0,0,364.71,10,H3,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.06,0,0,420.02,9,Other,hi
3.3 Subsection,17.16,1,0,200.96,12,H2,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.69,0,0,637.07,3,Other,de
12.10 Subsección,17.06,0,0,625.28,9,H2,es
3. मुख्य अनुभाग,17.41,1,1,367.27,24,H1,hi
Chapitre 13 : Introduction à quelque chose,22.07,1,0,203.05,3,Title,fr
8. मुख्य अनुभाग,18.47,0,0,602.67,31,H1,hi
This is an example sentence in English about a certain topic.,13.36,0,0,151.29,35,Other,en
16.6.11 Section imbriquée,12.92,0,0,347.81,14,H3,fr
3.2.10 Nested Section,13.16,0,0,529.42,13,H3,en
This is an example sentence in English about a certain topic.,10.49,1,0,365.9,34,Other,en
16. Hauptabschnitt,17.43,1,0,223.81,9,H1,de
Esta es una frase de ejemplo en español sobre un tema determinado.,13.38,0,1,376.04,16,Other,es
Ceci est une phrase d'exemple en français sur un certain sujet.,13.46,0,0,703.24,20,Other,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,11.97,1,0,107.31,30,Other,fr
This is an example sentence in English about a certain topic.,13.19,1,0,624.91,40,Other,en
11.9.7 Verschachtelter Abschnitt,12.83,0,0,663.95,25,H3,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.82,0,1,699.36,38,Other,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,10.53,0,1,535.34,29,Other,hi
19.9.6 Section imbriquée,15.25,1,0,545.17,26,H3,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.86,0,0,184.87,34,Other,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.1,1,1,697.61,1,Other,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.2,0,0,513.23,10,Other,hi
18.4 Subsección,17.48,0,1,729.37,23,H2,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.54,0,0,271.82,29,Other,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,13.93,0,0,315.38,36,Other,es
17. Major Section,19.98,0,0,200.06,31,H1,en
Ceci est une phrase d'exemple en français sur un certain sujet.,11.96,0,1,708.95,34,Other,fr
16.1 Subsección,14.97,1,0,280.54,10,H2,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.14,0,0,510.62,12,Other,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.06,1,1,299.22,34,Other,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.36,0,0,738.19,13,Other,hi
Ceci est une phrase d'exemple en français sur un certain sujet.,11.85,1,0,685.2,33,Other,fr
This is an example sentence in English about a certain topic.,13.6,0,1,152.45,4,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.08,0,0,732.13,9,Other,de
5.9.4 Verschachtelter Abschnitt,15.33,0,0,713.59,32,H3,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.44,0,0,764.62,31,Other,de
Ceci est une phrase d'exemple en français sur un certain sujet.,10.09,0,0,178.9,12,Other,fr
6.9 Sous-section,16.68,0,1,187.92,24,H2,fr
This is an example sentence in English about a certain topic.,12.03,1,1,309.9,15,Other,en
4.6.2 Sección anidada,15.51,1,1,568.84,15,H3,es
9.1 Sous-section,17.53,0,0,726.2,0,H2,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,10.76,0,1,73.8,22,Other,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,12.22,0,0,468.09,40,Other,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.04,1,0,407.24,14,Other,de
2.12 Sous-section,15.06,1,1,795.74,8,H2,fr
This is an example sentence in English about a certain topic.,12.86,0,0,289.98,14,Other,en
9.15.1 Sección anidada,12.58,0,1,184.13,27,H3,es
12. Major Section,19.78,1,0,653.32,31,H1,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.52,1,0,688.87,31,Other,hi
Ceci est une phrase d'exemple en français sur un certain sujet.,13.25,1,0,716.36,16,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,13.36,1,0,703.79,40,Other,es
8.11.11 नेस्टेड अनुभाग,15.04,1,0,641.1,7,H3,hi
9.1.11 Verschachtelter Abschnitt,15.94,0,0,609.32,4,H3,de
6.8 Sous-section,14.79,0,0,230.04,7,H2,fr
This is an example sentence in English about a certain topic.,11.67,0,0,428.31,27,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,13.16,1,1,691.4,29,Other,fr
5.2 Unterabschnitt,14.9,1,1,582.19,19,H2,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.07,1,0,192.18,22,Other,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,10.87,0,1,135.59,25,Other,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.7,1,0,476.18,5,Other,de
This is an example sentence in English about a certain topic.,10.39,0,0,639.41,13,Other,en
15. Major Section,16.79,0,0,396.9,2,H1,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.14,0,0,210.83,18,Other,hi
11.10 Subsección,16.23,1,0,662.22,5,H2,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13,0,1,490.99,22,Other,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.16,0,0,401.98,14,Other,de
